Feature,Importance
Albumin,0.7077306402019399
Total_Protiens,0.5967998592154015
Aspartate_Aminotransferase,0.4705866552219415
Direct_Bilirubin,0.3095562080114202
Albumin_and_Globulin_Ratio,0.28546269397696017
Age,0.273059816279971
Gender,0.24080404824545493
Alamine_Aminotransferase,0.17340707900506686
Alkaline_Phosphotase,0.15504811295341106
Total_Bilirubin,0.0022456164424540944
