Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7521367521367521,0.921875,0.7108433734939759,0.8027210884353742
Random Forest,0.7435897435897436,0.8354430379746836,0.7951807228915663,0.8148148148148148
XGBoost,0.6752136752136753,0.7528089887640449,0.8072289156626506,0.7790697674418605
